iter	Passed	Remaining
0	3	910
1	6	931
2	9	910
3	12	909
4	15	883
5	19	909
6	23	929
7	27	945
8	30	938
9	33	920
10	37	919
11	41	931
12	43	913
13	46	903
14	49	890
15	52	884
16	55	876
17	58	860
18	61	851
19	63	844
20	66	835
21	70	842
22	73	832
23	76	825
24	78	816
25	82	815
26	85	818
27	88	809
28	91	804
29	94	799
30	96	790
31	101	795
32	104	797
33	107	792
34	111	790
35	113	784
36	118	789
37	121	789
38	125	787
39	127	780
40	133	790
41	137	792
42	141	790
43	144	787
44	147	782
45	150	779
46	154	778
47	157	775
48	161	773
49	165	773
50	168	769
51	171	763
52	174	758
53	176	753
54	181	755
55	184	751
56	187	745
57	190	740
58	193	737
59	197	737
60	200	733
61	204	730
62	206	725
63	210	722
64	214	721
65	217	718
66	220	714
67	223	710
68	226	706
69	230	705
70	234	702
71	237	699
72	240	696
73	245	696
74	249	694
75	252	691
76	256	688
77	259	684
78	262	680
79	266	678
80	269	676
81	273	673
82	276	670
83	280	667
84	284	665
85	287	661
86	291	659
87	295	657
88	298	654
89	302	651
90	305	648
91	310	647
92	314	646
93	318	643
94	322	642
95	325	638
96	329	635
97	333	632
98	337	630
99	341	628
100	344	624
101	348	621
102	351	618
103	356	616
104	359	613
105	363	609
106	366	606
107	370	604
108	374	601
109	378	598
110	382	595
111	385	592
112	390	590
113	394	587
114	398	585
115	402	582
116	406	580
117	409	576
118	412	571
119	415	567
120	418	564
121	422	561
122	425	557
123	428	553
124	431	549
125	435	546
126	439	543
127	443	540
128	447	537
129	451	534
130	455	531
131	459	528
132	462	525
133	466	522
134	471	519
135	474	516
136	478	513
137	482	510
138	486	507
139	489	503
140	493	500
141	497	497
142	501	494
143	505	491
144	509	488
145	513	485
146	518	482
147	521	479
148	536	486
149	550	491
150	563	496
151	576	500
152	591	506
153	598	505
154	604	502
155	609	500
156	613	496
157	618	492
158	621	488
159	626	485
160	629	480
161	632	476
162	635	471
163	639	468
164	642	463
165	645	458
166	648	454
167	650	449
168	652	444
169	655	439
170	658	434
171	661	430
172	663	425
173	666	421
174	669	417
175	673	413
176	676	408
177	678	404
178	681	399
179	684	395
180	688	391
181	691	387
182	694	383
183	697	379
184	701	375
185	705	371
186	708	367
187	711	363
188	714	359
189	717	355
190	720	350
191	723	346
192	726	342
193	730	338
194	733	334
195	736	330
196	740	326
197	743	322
198	746	318
199	748	314
200	752	310
201	754	306
202	758	302
203	760	298
204	763	294
205	767	290
206	770	286
207	774	282
208	777	278
209	780	274
210	784	271
211	787	267
212	790	263
213	793	259
214	796	255
215	799	251
216	802	247
217	806	244
218	809	240
219	812	236
220	816	232
221	819	228
222	822	225
223	826	221
224	829	217
225	833	213
226	836	210
227	839	206
228	843	202
229	846	198
230	849	194
231	852	191
232	855	187
233	858	183
234	861	179
235	865	176
236	868	172
237	871	168
238	875	164
239	879	161
240	882	157
241	886	153
242	890	150
243	894	146
244	897	142
245	901	139
246	904	135
247	907	131
248	912	128
249	916	124
250	920	120
251	923	117
252	928	113
253	932	110
254	935	106
255	938	102
256	943	99
257	946	95
258	950	91
259	954	88
260	957	84
261	961	80
262	965	77
263	969	73
264	973	69
265	978	66
266	982	62
267	986	58
268	991	55
269	995	51
270	998	47
271	1002	44
272	1043	42
273	1048	38
274	1054	34
275	1060	30
276	1064	26
277	1074	23
278	1078	19
279	1083	15
280	1088	11
281	1092	7
282	1095	3
283	1099	0
